 13 TEFF'S       12 LOG G'S       8 FE/H'S        4 INDICES  (11 Aug 2003)
 1.375 1.222 1.078 0.908 0.760 0.674 0.606 0.553 0.501 0.455 0.413 0.371 0.332
 1.381 1.221 1.088 0.945 0.767 0.663 0.597 0.546 0.497 0.454 0.414 0.376 0.338
 1.392 1.228 1.090 0.960 0.808 0.672 0.599 0.542 0.495 0.453 0.416 0.379 0.344
 1.397 1.241 1.097 0.967 0.836 0.699 0.605 0.541 0.494 0.453 0.417 0.383 0.349
 1.381 1.259 1.109 0.975 0.850 0.730 0.619 0.547 0.495 0.454 0.421 0.387 0.355
 [Fe/H] = -0.50: Color Index = b-y  
 1.770 1.580 1.380 1.219 1.091 0.981 0.867 0.754 0.644 0.537 0.447 0.372 0.303
 1.638 1.467 1.283 1.125 1.002 0.901 0.802 0.706 0.613 0.523 0.441 0.373 0.309
 1.539 1.369 1.204 1.056 0.934 0.838 0.751 0.669 0.586 0.510 0.436 0.374 0.315
 1.485 1.290 1.141 1.005 0.883 0.791 0.713 0.640 0.565 0.498 0.433 0.375 0.321
 1.430 1.239 1.093 0.966 0.846 0.758 0.682 0.617 0.549 0.489 0.430 0.375 0.327
 1.387 1.236 1.068 0.937 0.820 0.734 0.661 0.597 0.537 0.481 0.427 0.377 0.332
 1.368 1.232 1.065 0.914 0.801 0.716 0.643 0.583 0.526 0.474 0.425 0.380 0.336
 1.359 1.223 1.078 0.915 0.787 0.702 0.629 0.570 0.518 0.470 0.423 0.382 0.340
 1.356 1.217 1.088 0.938 0.779 0.691 0.621 0.560 0.511 0.466 0.423 0.385 0.344
 1.355 1.218 1.090 0.959 0.803 0.684 0.616 0.555 0.506 0.464 0.423 0.386 0.349
 1.345 1.223 1.091 0.980 0.844 0.699 0.614 0.552 0.503 0.462 0.423 0.388 0.353
 1.318 1.227 1.097 0.985 0.865 0.738 0.619 0.549 0.500 0.460 0.423 0.389 0.356
 [Fe/H] =  0.00: Color Index = b-y  
 1.656 1.531 1.455 1.291 1.165 1.052 0.930 0.811 0.697 0.572 0.468 0.387 0.316
 1.531 1.433 1.368 1.210 1.088 0.982 0.875 0.770 0.666 0.554 0.465 0.389 0.325
 1.435 1.365 1.297 1.148 1.027 0.926 0.830 0.736 0.642 0.542 0.461 0.391 0.333
 1.386 1.308 1.240 1.101 0.980 0.881 0.795 0.710 0.621 0.531 0.458 0.394 0.340
 1.375 1.264 1.191 1.053 0.936 0.848 0.766 0.687 0.605 0.524 0.457 0.396 0.346
 1.341 1.226 1.150 1.012 0.897 0.814 0.737 0.665 0.592 0.516 0.455 0.399 0.350
 1.314 1.200 1.117 0.981 0.867 0.787 0.713 0.646 0.580 0.511 0.454 0.401 0.355
 1.300 1.180 1.094 0.957 0.843 0.766 0.692 0.629 0.566 0.506 0.453 0.403 0.358
 1.291 1.164 1.075 0.939 0.827 0.749 0.673 0.613 0.554 0.501 0.450 0.405 0.362
 1.281 1.158 1.059 0.938 0.827 0.736 0.657 0.599 0.544 0.493 0.447 0.405 0.364
 1.260 1.156 1.049 0.944 0.833 0.733 0.646 0.583 0.530 0.484 0.443 0.404 0.365
 1.220 1.151 1.049 0.951 0.838 0.734 0.639 0.572 0.518 0.475 0.437 0.401 0.366
 [Fe/H] =  0.50: Color Index = b-y  
 1.705 1.577 1.403 1.264 1.162 1.063 0.941 0.821 0.718 0.624 0.512 0.412 0.332
 1.589 1.488 1.342 1.209 1.108 1.017 0.907 0.799 0.701 0.614 0.514 0.420 0.345
 1.498 1.409 1.287 1.163 1.062 0.976 0.877 0.776 0.690 0.605 0.515 0.426 0.356
