 13 TEFF'S       12 LOG G'S       8 FE/H'S        4 INDICES  (11 Aug 2003)
 0.021 0.056 0.065 0.073 0.081 0.106 0.128 0.153 0.170 0.182 0.193 0.208 0.236
-0.083 0.031 0.056 0.061 0.068 0.091 0.113 0.136 0.156 0.164 0.168 0.169 0.181
 [Fe/H] = -0.50: Color Index = c1   
 0.232 0.334 0.394 0.433 0.503 0.592 0.715 0.865 1.012 1.162 1.347 1.540 1.751
 0.169 0.286 0.334 0.373 0.438 0.522 0.635 0.774 0.894 1.032 1.208 1.395 1.575
 0.132 0.239 0.279 0.320 0.379 0.455 0.556 0.670 0.779 0.899 1.067 1.246 1.393
 0.126 0.193 0.232 0.268 0.323 0.394 0.486 0.582 0.671 0.781 0.923 1.088 1.226
 0.136 0.171 0.198 0.225 0.272 0.344 0.419 0.496 0.573 0.664 0.782 0.930 1.059
 0.155 0.163 0.165 0.188 0.222 0.305 0.355 0.426 0.489 0.563 0.655 0.779 0.897
 0.134 0.154 0.141 0.161 0.178 0.258 0.303 0.359 0.417 0.469 0.542 0.644 0.745
 0.109 0.125 0.123 0.149 0.148 0.217 0.253 0.302 0.347 0.389 0.445 0.523 0.606
 0.068 0.096 0.107 0.140 0.128 0.163 0.221 0.258 0.292 0.321 0.362 0.418 0.480
-0.010 0.048 0.077 0.138 0.105 0.125 0.194 0.228 0.252 0.273 0.296 0.332 0.374
-0.094-0.049 0.034 0.137 0.085 0.102 0.172 0.206 0.228 0.241 0.252 0.267 0.289
-0.221-0.198-0.041 0.141 0.084 0.092 0.154 0.188 0.211 0.214 0.219 0.222 0.227
 [Fe/H] =  0.00: Color Index = c1   
 1.209 1.014 0.850 0.697 0.572 0.523 0.647 0.849 1.026 1.233 1.399 1.610 1.785
 1.126 0.914 0.742 0.619 0.502 0.457 0.568 0.757 0.917 1.108 1.263 1.426 1.582
 1.111 0.818 0.646 0.551 0.444 0.398 0.502 0.668 0.816 0.987 1.126 1.271 1.420
 0.926 0.697 0.554 0.481 0.385 0.342 0.439 0.584 0.720 0.869 0.990 1.121 1.247
 0.715 0.577 0.461 0.420 0.333 0.291 0.378 0.502 0.630 0.759 0.858 0.974 1.087
 0.484 0.435 0.374 0.356 0.288 0.247 0.326 0.423 0.545 0.657 0.739 0.832 0.931
 0.249 0.311 0.296 0.301 0.242 0.206 0.278 0.363 0.463 0.560 0.631 0.700 0.781
 0.077 0.187 0.236 0.254 0.200 0.167 0.238 0.316 0.392 0.469 0.525 0.581 0.643
-0.071 0.064 0.190 0.209 0.166 0.130 0.202 0.282 0.343 0.399 0.438 0.478 0.518
-0.122-0.012 0.169 0.176 0.130 0.100 0.172 0.253 0.305 0.343 0.363 0.381 0.413
-0.148-0.052 0.153 0.158 0.100 0.076 0.150 0.229 0.271 0.296 0.306 0.313 0.327
-0.138-0.070 0.137 0.160 0.086 0.062 0.137 0.213 0.245 0.263 0.263 0.258 0.258
 [Fe/H] =  0.50: Color Index = c1   
-0.168-0.230-0.182 0.200 0.394 0.519 0.622 0.789 0.983 1.206 1.418 1.600 1.800
-0.081-0.205-0.219 0.176 0.334 0.455 0.556 0.712 0.881 1.079 1.257 1.444 1.624
 0.013-0.161-0.233 0.154 0.284 0.394 0.490 0.632 0.782 0.958 1.119 1.283 1.448
 0.124-0.093-0.215 0.141 0.246 0.343 0.427 0.556 0.689 0.846 0.987 1.135 1.278
 0.267 0.001-0.165 0.128 0.218 0.295 0.366 0.486 0.602 0.740 0.862 0.993 1.119
 0.423 0.108-0.088 0.118 0.191 0.251 0.321 0.418 0.519 0.643 0.744 0.856 0.969
 0.493 0.229 0.005 0.110 0.162 0.210 0.282 0.360 0.446 0.547 0.638 0.727 0.824
 0.542 0.372 0.105 0.104 0.134 0.170 0.238 0.314 0.384 0.470 0.541 0.613 0.688
 0.576 0.449 0.221 0.105 0.110 0.139 0.206 0.280 0.341 0.406 0.461 0.512 0.567
 0.578 0.497 0.342 0.108 0.089 0.105 0.175 0.253 0.310 0.354 0.392 0.425 0.461
 0.522 0.526 0.408 0.120 0.076 0.074 0.154 0.229 0.281 0.308 0.336 0.351 0.370
 0.367 0.531 0.449 0.142 0.081 0.055 0.135 0.215 0.270 0.285 0.294 0.292 0.297
 [Fe/H] = -3.00: Color Index = BCv  
-4.910-3.828-2.621-1.714-1.378-0.970-0.669-0.454-0.305-0.202-0.124-0.055 0.018
-4.610-3.596-2.429-1.586-1.247-0.889-0.625-0.437-0.306-0.213-0.138-0.066 0.015
-4.350-3.393-2.264-1.471-1.134-0.821-0.590-0.425-0.308-0.223-0.153-0.085-0.009
-4.110-3.202-2.135-1.380-1.039-0.767-0.564-0.417-0.311-0.233-0.169-0.108-0.043
-3.890-2.992-2.031-1.318-0.967-0.725-0.544-0.412-0.317-0.245-0.185-0.129-0.069
-3.690-2.773-1.980-1.283-0.914-0.693-0.528-0.409-0.322-0.257-0.200-0.155-0.117
-3.510-2.606-1.953-1.291-0.875-0.670-0.517-0.406-0.326-0.266-0.214-0.172-0.137
-3.360-2.476-1.905-1.299-0.843-0.652-0.509-0.405-0.329-0.272-0.225-0.187-0.155
-3.240-2.372-1.848-1.295-0.828-0.643-0.504-0.402-0.329-0.276-0.233-0.199-0.171
-3.130-2.315-1.794-1.283-0.824-0.637-0.498-0.398-0.327-0.276-0.237-0.207-0.183
-3.057-2.272-1.734-1.257-0.829-0.635-0.493-0.393-0.324-0.276-0.238-0.211-0.191
-3.021-2.255-1.689-1.220-0.829-0.634-0.491-0.389-0.319-0.271-0.236-0.211-0.193
 [Fe/H] = -2.50: Color Index = BCv  
-4.925-3.843-2.660-1.758-1.342-0.953-0.663-0.451-0.303-0.199-0.120-0.054 0.011
-4.625-3.611-2.470-1.622-1.208-0.870-0.617-0.433-0.302-0.208-0.134-0.067 0.003
-4.365-3.408-2.303-1.504-1.107-0.805-0.581-0.419-0.303-0.218-0.148-0.083-0.013
-4.125-3.217-2.176-1.410-1.015-0.750-0.553-0.410-0.306-0.229-0.164-0.101-0.032
-3.905-3.007-2.071-1.342-0.954-0.713-0.534-0.403-0.309-0.239-0.179-0.120-0.055
-3.705-2.788-2.016-1.305-0.911-0.686-0.519-0.400-0.313-0.249-0.193-0.148-0.110
-3.525-2.621-1.968-1.306-0.887-0.670-0.511-0.397-0.317-0.257-0.206-0.164-0.129
-3.375-2.491-1.920-1.314-0.867-0.659-0.505-0.396-0.318-0.262-0.215-0.178-0.147
-3.255-2.387-1.863-1.310-0.851-0.651-0.502-0.394-0.317-0.263-0.222-0.189-0.162
-3.145-2.330-1.809-1.298-0.842-0.647-0.499-0.391-0.315-0.262-0.226-0.197-0.174
-3.072-2.287-1.749-1.272-0.842-0.646-0.497-0.389-0.312-0.260-0.225-0.200-0.181
-3.036-2.270-1.704-1.235-0.844-0.646-0.496-0.386-0.308-0.256-0.222-0.199-0.183
 [Fe/H] = -2.00: Color Index = BCv  
-4.940-3.858-2.699-1.803-1.305-0.936-0.656-0.449-0.301-0.195-0.116-0.052 0.005
-4.640-3.626-2.510-1.658-1.170-0.852-0.609-0.429-0.298-0.203-0.130-0.068-0.009
-4.380-3.423-2.341-1.537-1.080-0.789-0.571-0.412-0.298-0.213-0.144-0.081-0.016
-4.140-3.232-2.218-1.439-0.990-0.733-0.542-0.402-0.301-0.224-0.158-0.093-0.022
-3.920-3.022-2.111-1.366-0.940-0.701-0.523-0.394-0.302-0.233-0.173-0.111-0.040
-3.720-2.803-2.053-1.327-0.908-0.678-0.510-0.390-0.305-0.241-0.186-0.141-0.103
-3.540-2.636-1.983-1.321-0.899-0.670-0.504-0.388-0.307-0.248-0.197-0.156-0.121
-3.390-2.506-1.935-1.329-0.890-0.665-0.501-0.386-0.307-0.251-0.206-0.170-0.139
-3.270-2.402-1.878-1.325-0.874-0.660-0.501-0.386-0.306-0.251-0.212-0.180-0.153
-3.160-2.345-1.824-1.313-0.860-0.657-0.501-0.385-0.303-0.248-0.214-0.187-0.164
-3.087-2.302-1.764-1.287-0.855-0.656-0.501-0.384-0.300-0.244-0.212-0.189-0.171
-3.051-2.285-1.719-1.250-0.859-0.659-0.502-0.383-0.298-0.241-0.209-0.187-0.173
 [Fe/H] = -1.50: Color Index = BCv  
-4.970-3.883-2.589-1.747-1.253-0.893-0.627-0.434-0.294-0.188-0.094 0.002 0.111
-4.670-3.651-2.428-1.616-1.135-0.819-0.584-0.414-0.290-0.197-0.116-0.035 0.058
-4.410-3.448-2.284-1.505-1.053-0.764-0.551-0.397-0.288-0.205-0.134-0.064 0.014
-4.170-3.257-2.175-1.420-0.980-0.720-0.528-0.389-0.289-0.213-0.146-0.078 0.000
-3.950-3.047-2.091-1.356-0.942-0.696-0.515-0.383-0.289-0.220-0.159-0.097-0.027
-3.750-2.828-2.046-1.325-0.923-0.683-0.507-0.382-0.293-0.227-0.171-0.126-0.087
-3.570-2.661-2.003-1.336-0.920-0.682-0.507-0.382-0.295-0.232-0.179-0.138-0.104
-3.420-2.531-1.955-1.344-0.921-0.683-0.507-0.382-0.296-0.235-0.187-0.150-0.120
-3.300-2.427-1.898-1.340-0.914-0.684-0.510-0.385-0.296-0.235-0.192-0.159-0.132
-3.190-2.370-1.844-1.328-0.898-0.683-0.515-0.387-0.295-0.232-0.193-0.164-0.142
-3.117-2.327-1.784-1.302-0.883-0.682-0.519-0.391-0.294-0.229-0.192-0.166-0.148
-3.081-2.310-1.739-1.265-0.878-0.683-0.521-0.392-0.294-0.227-0.190-0.164-0.148
 [Fe/H] = -1.00: Color Index = BCv  
-5.000-3.908-2.478-1.692-1.200-0.850-0.598-0.419-0.288-0.180-0.071 0.057 0.217
-4.700-3.676-2.347-1.574-1.100-0.786-0.559-0.398-0.282-0.191-0.103-0.001 0.126
-4.440-3.473-2.227-1.474-1.025-0.739-0.531-0.383-0.278-0.197-0.124-0.047 0.044
-4.200-3.282-2.132-1.401-0.970-0.707-0.514-0.375-0.276-0.201-0.134-0.063 0.022
-3.980-3.072-2.071-1.346-0.945-0.692-0.506-0.372-0.277-0.206-0.145-0.083-0.013
-3.780-2.853-2.040-1.323-0.937-0.687-0.504-0.373-0.280-0.212-0.155-0.110-0.072
-3.600-2.686-2.023-1.351-0.942-0.693-0.509-0.377-0.283-0.216-0.162-0.120-0.087
-3.450-2.556-1.975-1.359-0.953-0.700-0.513-0.379-0.285-0.219-0.168-0.130-0.101
-3.330-2.452-1.918-1.355-0.955-0.707-0.520-0.384-0.287-0.220-0.172-0.138-0.112
-3.220-2.395-1.864-1.343-0.935-0.708-0.528-0.390-0.288-0.217-0.173-0.142-0.120
-3.147-2.352-1.804-1.317-0.910-0.708-0.537-0.397-0.289-0.214-0.172-0.143-0.124
-3.111-2.335-1.759-1.280-0.898-0.707-0.540-0.401-0.291-0.213-0.170-0.142-0.124
 [Fe/H] = -0.50: Color Index = BCv  
-5.100-3.922-2.467-1.411-1.035-0.784-0.578-0.409-0.270-0.155-0.056 0.033 0.118
-4.800-3.756-2.370-1.374-0.999-0.743-0.543-0.388-0.267-0.170-0.087-0.010 0.066
-4.540-3.553-2.296-1.348-0.976-0.716-0.520-0.374-0.265-0.180-0.107-0.037 0.038
-4.300-3.362-2.232-1.334-0.966-0.704-0.509-0.367-0.264-0.185-0.116-0.046 0.032
-4.080-3.152-2.168-1.333-0.956-0.700-0.508-0.368-0.266-0.189-0.124-0.061 0.007
-3.880-2.933-2.131-1.363-0.961-0.704-0.511-0.370-0.269-0.194-0.132-0.086-0.049
-3.700-2.766-2.083-1.391-0.969-0.710-0.516-0.374-0.272-0.198-0.139-0.095-0.061
-3.550-2.636-2.035-1.399-0.982-0.720-0.523-0.379-0.275-0.201-0.144-0.103-0.072
-3.430-2.532-1.978-1.395-0.994-0.732-0.533-0.385-0.279-0.203-0.148-0.109-0.081
-3.320-2.475-1.924-1.383-0.985-0.740-0.545-0.394-0.282-0.203-0.151-0.114-0.087
-3.247-2.432-1.864-1.357-0.955-0.741-0.558-0.406-0.287-0.202-0.152-0.116-0.091
-3.211-2.415-1.819-1.320-0.934-0.740-0.565-0.414-0.292-0.203-0.151-0.115-0.092
 [Fe/H] =  0.00: Color Index = BCv  
-6.607-4.725-2.685-1.520-1.030-0.754-0.547-0.390-0.266-0.157-0.046 0.080 0.230
-6.045-4.361-2.582-1.483-1.017-0.746-0.539-0.382-0.261-0.164-0.076 0.014 0.116
-5.563-4.041-2.485-1.457-1.003-0.737-0.532-0.376-0.259-0.169-0.094-0.025 0.046
-5.112-3.715-2.403-1.442-0.990-0.728-0.526-0.374-0.260-0.173-0.100-0.031 0.041
-4.715-3.418-2.326-1.424-0.984-0.721-0.521-0.372-0.261-0.177-0.107-0.041 0.028
-4.364-3.161-2.248-1.433-0.992-0.727-0.525-0.375-0.264-0.181-0.114-0.064-0.024
-4.091-2.946-2.176-1.441-1.002-0.737-0.533-0.380-0.268-0.185-0.120-0.071-0.034
-3.819-2.816-2.115-1.449-1.014-0.747-0.541-0.387-0.273-0.189-0.125-0.078-0.042
-3.670-2.712-2.058-1.445-1.030-0.762-0.553-0.395-0.278-0.193-0.130-0.083-0.049
-3.560-2.655-2.004-1.433-1.038-0.775-0.567-0.406-0.285-0.197-0.134-0.088-0.055
-3.487-2.612-1.944-1.407-1.016-0.780-0.582-0.421-0.294-0.200-0.137-0.091-0.059
-3.451-2.595-1.899-1.370-0.979-0.776-0.594-0.436-0.305-0.206-0.141-0.095-0.063
 [Fe/H] =  0.50: Color Index = BCv  
-7.532-5.533-3.005-1.660-1.038-0.767-0.552-0.382-0.246-0.135-0.039 0.050 0.139
-6.828-5.073-2.895-1.628-1.022-0.754-0.544-0.380-0.251-0.147-0.058 0.027 0.113
-6.165-4.613-2.787-1.595-1.018-0.750-0.540-0.379-0.254-0.156-0.072 0.005 0.084
-5.664-4.237-2.681-1.562-1.025-0.753-0.541-0.379-0.255-0.160-0.083-0.018 0.041
-5.215-3.908-2.578-1.541-1.036-0.761-0.546-0.382-0.258-0.164-0.089-0.024 0.037
-4.841-3.639-2.463-1.511-1.029-0.752-0.540-0.380-0.261-0.169-0.096-0.040 0.004
-4.489-3.368-2.383-1.498-1.040-0.760-0.546-0.385-0.265-0.173-0.100-0.045-0.004
-4.276-3.176-2.293-1.492-1.054-0.774-0.556-0.390-0.268-0.177-0.107-0.052-0.010
-4.090-3.027-2.220-1.503-1.073-0.789-0.568-0.400-0.275-0.181-0.112-0.058-0.017
-3.960-2.905-2.137-1.516-1.103-0.810-0.582-0.409-0.282-0.187-0.116-0.063-0.023
-3.887-2.862-2.077-1.490-1.108-0.825-0.600-0.424-0.292-0.195-0.125-0.070-0.027
-3.851-2.845-2.032-1.453-1.076-0.829-0.619-0.444-0.303-0.196-0.123-0.068-0.030
