# V_std   s_V   (b-y)_s  s_by 
  12.774   .024    .472   .036
  17.179   .052    .754   .070
  13.503   .023    .402   .033
  16.675   .038    .579   .052
  16.165   .036    .624   .050
  13.844   .022    .376   .033
  15.624   .030    .526   .042
  14.695   .025    .462   .037
  16.218   .037    .653   .052
  16.235   .039    .698   .055
  14.166   .023    .414   .034
  13.704   .024    .392   .034
  15.971   .033    .567   .046
  17.354   .054    .736   .073
  13.596   .023    .379   .033
  15.228   .027    .468   .038
  17.745   .067    .532   .080
  17.244   .066    .514   .076
  16.234   .038    .443   .047
  12.938   .027    .529   .039
  16.527   .042    .608   .055
  16.447   .044    .715   .060
  13.684   .023    .352   .033
  16.517   .037    .382   .046
  15.418   .030    .465   .041
  16.796   .042    .654   .058
  16.536   .039    .621   .053
  16.812   .045    .678   .060
  17.295   .054    .670   .070
  17.294   .056    .704   .073
  15.507   .031    .521   .044
  17.331   .053    .720   .071
  16.440   .037    .560   .050
  16.702   .043    .647   .058
  17.199   .052    .768   .073
  17.069   .050    .701   .068
  17.210   .052    .663   .069
  17.163   .050    .655   .067
  17.215   .050    .642   .067
  16.905   .047    .701   .064
  16.862   .044    .619   .058
  17.552   .049    .327   .060
  16.271   .037    .403   .048
  17.272   .058    .772   .076
  17.600   .069    .543   .082
  13.419   .023    .399   .033
  17.939   .074    .720   .094
  11.484   .030    .631   .044
  14.982   .026    .454   .037
  14.136   .024    .403   .034
  14.936   .027    .485   .038
  15.359   .027    .487   .039
  18.111   .072    .498   .091
  15.209   .028    .507   .040
  14.510   .024    .426   .035
  15.307   .028    .516   .040
  14.633   .024    .428   .036
  14.973   .027    .513   .039
  15.275   .027    .493   .039
  15.189   .027    .490   .039
  14.213   .023    .409   .034
  14.636   .024    .440   .035
  12.667   .022    .377   .033
  12.735   .022    .389   .032
  14.917   .026    .473   .038
  17.839   .066    .774   .090
  15.012   .026    .494   .038
  14.987   .028    .552   .041
  14.791   .023    .352   .033
  15.386   .025    .387   .036
  18.303   .081    .439   .096
  14.773   .025    .450   .036
  14.545   .025    .463   .036
  14.981   .027    .465   .038
  15.116   .027    .479   .038
  13.816   .023    .393   .033
  14.364   .026    .510   .038
  13.331   .021    .320   .031
  11.341   .022    .414   .033
  14.355   .024    .426   .034
